tweet,csv
@pororosih corona hynk Anies Maunya Apa Sih Nggak Peka Banget: Mau Belanja Lahan Rp 700 Miliar Saat Perang Corona https://t.co/AVPd4w2bVw RT @SaralPatel: Yakub & Amrit boarded truck from Surat to UP. Amrit fell sick midway. Fearing Corona Truck Driver asked Amrit to deboard. , negative
RT @skynewsarabia:  : #  #_    | #_ # #_ #corona #covid19  http @mz_twitty  wait till corona disappear. One big whore RT @boredwow: "VAI TOMAR NO CU CORONA" Brasileiro se expressa bem ne kkkkljlkkk https://t.co/MoSeW0RNw4 RT @Dhananj14202113: @rautsanjay61 @OfficeofUT @PawarSpeaks @AUThackeray Sant Shri Asaram Ji Bapu & his devotees always try their best to b Reality & Truth Vllig unverhltnismig , negative
RT @medicalfollower: Quand certains ouvriront les yeux... https://t.co/AebR7P83iu @ticgran @BBCNews @BroganRoganTrev https://t.co/PDhlk77Td3 RT @MomenMo17374219: GENERAL SECONDARY EXAMS WILL BE HELD IN 7TH JUNE SACRIFICING THE LIFE OF 750K STUDENT - OUR FUCKING LIVES IS THREATENE RT @Lini_ZQ: persembahan utk:   semua anggota @DPR_RI yg mengesahkan perubahan UU Pertambangan & Minerba dan Perppu Corona menjadi UU    , negative
RT @caglarcilara: Belika'da Babakan Wilmes'in bir hastaneyi ziyareti srasnda salk personeli srtlarn dnerek protesto gerekletird RT @Miss_Rebella: Lihat pembebasan seorang tokoh agama saya turut senang  tapi kapan ulama ini bebas Beliau sudah 81 tahun. Sudah sepuh Puri Duniya Corona ki  Wajah Say Pareshan Hai . Aik Humhara Pakistan  Eid Aa Gayi Mera Yar Nahi Aaya .  #COVID__19 #Pakistan RT @praveendel: FM Smt @nsitharaman Traders across Country @TEAMCAIT are deeply upset & register protest for not including them in economic , negative
@THESCREAMUK @mishtal @TommyCorbyn The concern was: the state's limitation of human rights [eg right to liberty right to respect for family life and freedom of assembly (arts 5811 ECHR)] a concern expressed by others. And linking the corona virus to 5G. (That does not make sense to me.) , negative
Rijke lange arm van China smoort internationale kritiek op corona-uitbraak https://t.co/vW7MNKDaYy RT @fateifatos: EU TO CHORANDO SE ISSO FOR VERDADE EU SOU A PESSOA MAIS FELIZ DO MUNDO  VAI TOMAR NO CU CORONA https://t.co/Ppo88Y5QtM , negative
RT @friendsofrss: Mumbai: First batch of RSS volunteers going out to test people for Corona infection. https://t.co/zjzdyiDx3R RT @indiokidauanus: j estou escolhendo minha roupa para o maior evento desse pas: a vacina pro coronavrus  VAI TOMAR NO CU CORONA https: , negative
My Mood since corona showed up. RT @soumya1311: Lockdown stopped everything in world but Sant Shri Asharamji Bapu 's disciples are unstoppable. They are still providing ba When someone said corona virus it's like amapiano song you thought the song ended then that sound comes in..ssssssssssss..gong...gong.. RT @fateifatos: EU TO CHORANDO SE ISSO FOR VERDADE EU SOU A PESSOA MAIS FELIZ DO MUNDO  VAI TOMAR NO CU CORONA https://t.co/Ppo88Y5QtM , negative
RT @fateifatos: EU TO CHORANDO SE ISSO FOR VERDADE EU SOU A PESSOA MAIS FELIZ DO MUNDO  VAI TOMAR NO CU CORONA https://t.co/Ppo88Y5QtM RT @IamAvinash223: Gkp railway board ne hmari vacancy hi sanitize kr di h..... Ham corona nhi ham selected candidate hai ALP ke hme joining , negative
@singer_wolfgang Das Establishment und seine Vertreter zeigen gegen den PARTEIBERGREIFENDEN Corona-Protest ihre #arroganzderohnmacht: Diese kann noch gefhrlicher sein als die Arroganz der Macht.  https://t.co/9s9jEP0FPL RT @Kenyafootball: Sakaja is the biggest fraud in Kenya. Created a fake employment authority for Mary Wambui. He played Kasarani-Mwiki guys RT @SouAliada: Adeus 40tena da farsa! Beijinho no ombro do recalque corongakkkk , negative
